payee,category,work_details,lpo_number,plo_sum,invoice_number,date_recorded,start_date,end_date,completion_status,cumulative_amount_invoiced,amount_paid,outstanding_amount,verified,comments,support_documents,,
Al Rahma Tours ,Recurrent,Air Ticket DG to Kisumu ,975639," 49,850.00 ",058,6/2/2015,,,Complete,"49,850.00",," 49,850.00 ",,Original,√  ,,
Al zudia distributors,Recurrent,Supply of tyres,2273481,,288,8/18/2016,,,Complete,,," 192,000.00 ",,,√  ,,
Al zudia distributors,Recurrent,Supply of tyres and batteries,2635931," 549,000.00 ",287,5/3/2016,26/04/201,42618,Complete,"549,000.00", -   ," 549,000.00 ",,original,√  ,,
Al Zudia Distributors,Recurrent,Supply of reporting tool,2273495," 800,005.00 ",80,10/28/2015,28/10/2016,28/10/2015,Complete,"800,005.00", -   ," 800,005.00 ",,original,√  ,,
Al Zudia General Distributers,Recurrent,Supply of stationaries,2159161," 730,000.00 ",51,3/8/2016,,31/08/2016,Complete,"730,000.00", -   ," 730,000.00 ",,photo copy,√  ,,
Al Zudia General Distributors,Recurrent,supply of office stationeries balance payment,2196672/3," 201,600.00 ",114/5,8/9/2016,,,Complete,"201,600.00", -   ," 201,600.00 ",,Photocopy document,√  ,,To CALL
Al Zudia General Distributors,Recurrent,Car hire services,," 1,500,000.00 ",015,24/02/2017,,,Complete,"1,500,000.00",," 1,500,000.00 ",,photo copy,√  ,,
Ali Abdullahi Mahad,Recurrent,Supply of fuel,2196668,,105,2/11/2016,31/10/2016,30/06/2017,Complete,"343,300.00", -   ," 343,300.00 ",ORIGINAL,,√  ,,
Ali Abdullahi Mahad,Recurrent,Supply of fuel,3011788," 1,012,000.00 ",1308,8/3/2017,42950,30/6/2017,Complete,"1,012,000.00", -   ," 1,012,000.00 ",ORIGINAL,,√  ,,
Ali Abdullahi Mahad,Recurrent,Supply of fuel,2273239," 192,000.00 ",1957,6/20/2016,,,Complete,"192,000.00",," 192,000.00 ",,,√  ,,
Ali Abdullahi Mahad,Recurrent,Supply of fuel,1927785," 166,500.00 ",1170,3/30/2015,,,Complete,"166,500.00",," 166,500.00 ",,,√  ,,
Ali Abdullahi Mahad,Recurrent,Supply of fuel,2635824," 294,000.00 ",1362,1/20/2016,,,Complete,"294,000.00"," 294,000.00 ", -   ,,paid,√  ,,
Ali Abdullahi Mahad,Recurrent,Motor vehicle repairs and servicing ,1201211," 1,335,000.00 ",002,4/25/2017,,,Complete,"1,335,000.00", -   ," 1,335,000.00 ",,original,√  ,,
Ali Abdullahi Mahad,Recurrent,Hire of Transport Services Revenue monitoring in Merti and Garbatulla,1201212," 459,000.00 ",004,4/25/2017,,,Complete,"459,000.00", -   ," 459,000.00 ",,original,√  ,,
Ali Abdullahi Mahad,Recurrent,Supply of fuel,26355583," 490,000.00 ",1365,1/20/2016,,,Complete,"490,000.00", -   ," 490,000.00 ",,original,√  ,,
Ali Abdullahi Mahad,Recurrent,Supply of fuel,2635984," 588,000.00 ",1394,3/30/2016,,,Complete,"588,000.00", -   ," 588,000.00 ",,original,√  ,,
Ali Abdullahi Mahad,Recurrent,supply of fuel,2273487," 627,000.00 ",309,10/12/2016,,,Complete,"627,000.00", -   ," 627,200.00 ",,original,√  ,,
Ali Abdullahi Mahad,Development,Relief food,2196743," 3,072,000.00 ",87,8/20/2016,,,Complete,"3,072,000.00", -   ," 3,072,000.00 ",,original document,√  ,,
Ali Abdullahi Mahad,Recurrent,supply of fuel,2206121," 147,000.00 ",307,9/7/2016,,,Complete,"147,000.00", -   ," 147,000.00 ",,original document,√  ,,
Ali Abdullahi Mahad,Recurrent,supply of fuel,2206496," 294,000.00 ",306,6/6/2016,,,Complete,"294,000.00", -   ," 294,000.00 ",,original document,√  ,,
Ali Abdullahi Mahad,Recurrent,Fuel supply,2196762," 490,000.00 ",1345,8/6/2015,,,Complete,"490,000.00", -   ," 490,000.00 ",,original document,√  ,,
Ali Abdullahi Mahad,Recurrent,supply of fuel,2273069," 237,600.00 ",411,6/8/2015,,,Complete,"237,600.00", -   ," 237,600.00 ",,original document,√  ,,
Ali Abdullahi Mahad,Recurrent,supply of fuel,2273067," 192,000.00 ",409,6/8/2015,,,Complete,"192,000.00", -   ," 192,000.00 ",,original document,√  ,,
Ali Abdullahi Mahad,Recurrent,supply of fuel,2196702," 588,000.00 ",1308,6/23/2015,,,Complete,"588,000.00", -   ," 588,000.00 ",,original document,√  ,,
Ali Abdullahi Mahad,Recurrent,Supply of fuel,2208188," 435,600.00 ",294,11/5/2014,,,Complete,"435,600.00", -   ," 435,600.00 ",,original document,√  ,,
Ali Abdullahi Mahad,Recurrent,supply of fuel,2477074," 552,000.00 ",29,5/7/2015,,,Complete,"552,000.00", -   ," 552,000.00 ",,original document,√  ,,
Ali Abdullahi Mahad,Recurrent,Fuel supply,2477079," 44,000.00 ",40,5/7/2015,,,Complete,"44,000.00", -   ," 44,000.00 ",,original document,√  ,,
Ali Abdullahi Mahad,Recurrent,supply of fuel,2158045," 188,000.00 ",1036,12/23/2014,,,Complete,"188,000.00", -   ," 188,000.00 ",,original document,√  ,,
Ali Abdullahi Mahad,Recurrent,supply of fuel,2477098," 253,000.00 ",42,5/26/2015,,,Complete,"253,000.00", -   ," 253,000.00 ",,original document,√  ,,
Ali Abdullahi Mahad,Recurrent,supply of fuel,2477424," 368,000.00 ",11,4/7/2015,,,Complete,"368,000.00", -   ," 368,000.00 ",,original document,√  ,,
Ali Abdullahi Mahad,Recurrent,supply of fuel,2196708," 588,000.00 ",1334,8/20/2015,,,Complete,"588,000.00", -   ," 588,000.00 ",,original document,√  ,,
Ali Abdullahi Mahad,Recurrent,Fuel supply,2477075," 322,000.00 ",27,5/8/2015,,,Complete,"322,000.00", -   ," 322,000.00 ",,original document,√  ,,
Ali Abdullahi Mahad,Development,Suply of Relief Food at Kinna Ward,2273457," 7,309,000.00 ",402,9/29/2016,,,Complete,"7,309,000.00", -   ," 7,309,000.00 ",,original document,√  ,,
Ali Abdullahi Mahad,Development,supply of Relief food at Chari Ward,2273463," 6,620,000.00 ",406,9/27/2016,,,Complete,"6,620,000.00", -   ," 6,620,000.00 ",,original document,√  ,,
Ali Abdullahi Mahad,Recurrent,supply of fuel,2196614," 323,400.00 ",1010,3/30/2017,,,Complete,"323,400.00", -   ," 323,400.00 ",,original document,√  ,,
Ali Abdullahi Mahad,Recurrent,Supply of fuel,3011751," 492,000.00 ",325,5/2/2017,,,Complete,"492,000.00", -   ," 492,000.00 ",,original document,√  ,,
Ali Abdullahi Mahad,Recurrent,Repair and servicing of motovehicle,,,,,,,Complete,, -   ," 1,335,000.00 ",,,X,,
Ali Abdullahi Mahad,Recurrent, fuel office of govornor,3011796," 1,470,000.00 ",not attached,,,,complete,"1,470,000.00",," 1,470,000.00 ",,original document,√  ,,
Ali Abdullahi Mahad,Recurrent,Supply of fuel,3011767," 1,512,000.00 ",329,Not Dated,43075,25/05/2017,Complete,"1,512,000.00", -   ," 1,512,000.00 ",,original,√  ,,
Ali Abdullahi Mahad,Recurrent,Supply of fuel,2159178," 768,000.00 ",781,9/23/2016,,,Complete,"768,000.00", -   ," 768,000.00 ",,,√  ,,
Ali Abdullahi Mahad,Recurrent,Supply of fuel,2159116," 300,000.00 ",344,4/30/2014,41759,41759,,"300,000.00", -   ," 300,000.00 ",,original,√  ,,
Ali Abdullahi Mahad,Recurrent,Supply of fuel,2158032," 457,380.00 ",1042,12/31/2014,38352,42004,,"457,380.00", -   ," 457,380.00 ",,original,√  ,,
Ali Abdullahi Mahad,Recurrent,supply of fuel,2273180,,5,20/4/2014,,,Complete,,," 245,000.00 ",,,√  ,,
Ali Abdullahi Mahad,Recurrent,Supply of fuel,,,,,,,Complete,,," 343,000.00 ",,,√  ,,
Ali Abdullahi Mahad,Recurrent,Hire of Transport,1201203," 300,000.00 ",24,4/24/2017,42800,42811,Complete,"300,000.00",," 300,000.00 ",,Original,√  ,,
Ali Abdullahi Mahad,Recurrent,Supply of fuel,2273400," 827,904.00 ",538,1/17/2017,,,Complete,"827,904.00", -   ," 827,904.00 ",,original,√  ,,
Ali Abdullahi Mahad,Recurrent,Supply of fuel,3011824," 1,000,000.00 ",1653,5/18/2017,,,Complete,"1,000,000.00",," 1,000,000.00 ",,original,√  ,,
AM Secretarial And Printing Service,Recurrent,Printing services Revenue collecion receipt books,2206187," 485,000.00 ",6604,6/3/2015,,,Complete,"485,000.00", -   ," 485,000.00 ",,original,√  ,,
AM Secretarial And Printing Service,Recurrent,supply of stationeries,2635532," 1,572,500.00 ",301/302,17/10/2016,,,Complete,"1,572,500.00", -   ," 1,572,500.00 ",,,√  ,,
Amaana Holdings Limited,Development,Construction of fresh produce market at Oldonyiro,ICG/173/2016/2017," 2,697,598.55 ",6,Not Dated,,,Complete,"2,697,598.55", -   ," 2,697,598.55 ",,original,√  ,,
Amare  Construction Co.,Recurrent,Car hire for use by County Secretary,2206336," 490,000.00 ",153,10/6/2015,,,Complete,"490,000.00", -   ," 490,000.00 ",,original document,√  ,,
Amare Construction,Recurrent,Hire of Transport Services Revenue monitoring in Merti and Garbatulla,1201230," 1,214,869.00 ",188,12/12/2016,,,Complete,"1,214,869.00"," 674,869.00 "," 540,000.00 ",,original,X,,
Amare construction,Recurrent,Car hire,1335603," 550,000.00 ",169,11/13/2015,,,Complete,"550,000.00", -   ," 550,000.00 ",,original document,√  ,,
Amare Construction Co. Ltd,Development,Construction of half Fresh produce market at Boji miraa market,ICG/221/2016/2017," 2,892,547.00 ",186,3/30/2015,,,Complete,"2,892,547.00"," 1,677,677.25 "," 1,214,869.75 ",,original,√  ,,
Amki Stores Enterprise,Development,Supply of Grass Seeds,Icg/052/2016/2017/015," 3,700,000.00 ",002,10/29/2016,,,Complete,"3,700,000.00", -   ," 3,700,000.00 ",,budgettted for in the curreny year ,√  ,,
Amki Stores Enterprises,Development,Maintenance services for Borehole at Iresaboru and Dadachalafe ,1198144,,012,3/30/2017,20/2/2017,30/6/2017,Complete,"1,316,832.00", N/A ," 1,316,832.00 ",ORIGINAL,,√  ,,
Anchor Electrical Services,Development,"Erecting 3 no. High mast flood lights at Merti, Kinna and Garbatulla",ICG/054/201/16/002," 7,365,000.00 ",Not invoiced,n/a,14/05/2015,42624,Complete,0.00,, -   ,,,√  ,,
Angaff Radio,Recurrent,Live Radio Production balance,1201227," 1,847,000.00 ",101-117,3/26/2016,,,Complete,"1,847,000.00"," 1,000,000.00 "," 847,000.00 ",,original document,√  ,,
Ansim Company Limited,Recurrent,supply of poultry Equipments at ATC,ICG/072/2015/2016/245," 1,192,000.00 ",029,6/6/2016,42514,42527,Complete,"1,192,000.00", -   ," 1,192,000.00 ",,budgettted for in the curreny year ,√  ,,
APA Cover Limited,Recurrent,Insurance Cover KBY 120 C,ICG/002/2014/2016/2,,,,,,Complete,,," 105,513.00 ",,,X,,
APA Insurance,Recurrent,Motor vehicle insurance cover,none, not attached ,none,,,,Complete,"483,958.00",," 483,958.00 ",,Original,√  ,,
APA Insurance Limited,Recurrent,Motor Vehicle Insurance Cover,ICG/002/2014/2016/2," 2,996,097.55 ",Various,1/27/2016,,,Complete,"2,996,091.55", -   ," 2,996,091.55 ",,original,√  ,,
Arid Youths Company Ltd,Recurrent,"supply computer, photocopier and scanner",2273168," 500,000.00 ",48,2/20/2017,,,Complete,"500,000.00", -   ," 500,000.00 ",,original document,√  ,,
Asaf General Trading Co. Ltd,Development,Cabrol blocking Isiolo town Moti Plaza to Wabera street,ICG/062/2015/2016," 8,107,936.00 ",Not attached ,n/a,,,Complete,"5,042,535.00", -   ," 5,042,535.00 ",,original,√  ,,
awacho company ltd,Development,drilling and test pumping for borehole,icg/052/2015/2016/3,,26,not dated,42525,30/6/2016,Complete,"7,932,633.00", -   ," 7,932,633.00 ",ORIGINAL,,√  ,,
Ayub Guantai Matiri,Recurrent,Old County Treasury Offices Rent Feb 2016 - Jan 2018,Lease Agreement," 2,400,000.00 ",016/007,01/10/18/03/03/16,42036,44227,Complete,"4,800,000.00", -   ," 4,800,000.00 ",,,√  ,,
Babul Construction Limited,Development,Construction of two no. paddocks feedlot at Burat,1201408," 3,684,856.00 ",001,4/13/2017,18/0/17,42838,Complete,"3,684,856.00",," 3,684,856.00 ",,,√  ,,
Bakalch Contractors and Supplies Limited,Development,Rehabillitation and extension  of Garbatulla  water supply,1335662,,006,2/20/2016,43009,30/6/2017,Complete,"4,040,475.00", N/A ," 4,040,475.00 ",ORIGINAL,,√  ,,
Balkach Construction and Supplies Ltd,Development,Construction Of Twin Classrom Block of Uhuru Youth Polytechnic,," 2,803,561.20 ",N/A,N/A,,,0.5,"1,229,044.00",," 1,229,044.00 ",,Not  attached all requisite documents,√  ,,
Baretu general 0consr,Recurrent,Car hire services office ,975535," 180,000.00 ",459,14/3/2014,,,Complete,"180,000.00"," 180,000.00 ", -   ,,original document,√  ,,
Baretu General Construction Co. Ltd,,Payment of Biligi Badana Road,ICG/004/2017/2018," 4,998,825.00 ",508,16/08/207,26/07/2017,19/10/2018,Complete,"4,998,825.00",," 4,998,825.00 ",,the whole contract amount was not paid,√  ,,
Basin Builders and movers,Recurrent,Relief food,2159492," 3,990,000.00 ",002,6/29/2016,,,Complete,"3,990,000.00", -   ," 3,990,000.00 ",,Photo copy,√  ,,
Basra Building Construction Ltd,Development,Construction of VIP latrine at Waso Secondary School,ICG/051/2014/2015," 3,851,500.00 ",115,10/24/2016,,,Complete,"3,851,500.00", -   ," 3,851,500.00 ",,original document,√  ,,
Basra Building Construction Ltd,Development,construction of Laboratory at Bulesa Secondary School,2206307," 6,497,943.00 ",109,12/7/2015,,,Complete,"6,497,943.00", -   ," 6,497,943.00 ",,original document,√  ,,
Benwood Enterprises,Recurrent,water plumbs system improvement,1201224,,62,13/5/2017,,,Complete,,," 1,197,078.00 ",,,X,,
Benwood Enterprises,Development,Repair of Sewerline Isiolo Hosp,1201240," 449,634.00 ",11214,5/18/2017,,42830,Complete,"449,634.00", -   ," 449,634.00 ",,original,√  ,,
Benwood Enterprises,Recurrent,Improvement of Water Plumping System at Arthdi House,1201224," 1,497,078.00 ",062,not dated,not dated,not dated,Complete,"1,497,078.00"," 470,000.00 "," 1,027,078.00 ",,"1497078 and 470,000 was paid,1,027,078 is still pending",√  ,,
Biftu Prime Constructions,Recurrent,supply of mineral water ,2477241," 26,000.00 ",007,3/24/2015,,,Complete,"26,000.00", -   ," 26,000.00 ",,original document,√  ,,
Black Tar Builders,Development,Supply of relief food Kambi Juu ,2159478," 4,380,000.00 ",20,6/26/2016,,,Complete,"4,380,000.00", -   ," 4,380,000.00 ",,original document,√  ,,
Black Tar Builders,Recurrent,Office Furniture Board Room ,2159477," 316,321.00 ",15,6/26/2015,,,Complete,"316,321.00", -   ," 316,321.00 ",,original document,√  ,,
Black Tar Builders,Recurrent,Relief food,2159494," 3,990,000.00 ",005,6/29/2016,,,Complete,"3,990,000.00", -   ," 3,990,000.00 ",,Photo copy,√  ,,
Bomen Hotel,Recurrent,conference facilities,1027131," 588,650.00 ",3508,6/6/2015,,,Complete,"588,650.00", -   ," 588,650.00 ",,,√  ,,
Bomen Hotel,Recurrent,Meals during Human Resource Audit,1027374," 336,600.00 ",7401,10/10/2014,,,Complete,"336,600.00", -   ," 336,600.00 ",,,√  ,,
Bomen Hotel,Recurrent,Lunches during slum upgrading meeting with National Government officers,975674,,3600,12/11/2014,,,,,," 42,900.00 ",,,X,,
Bururi Enterprises Ltd,Recurrent,Supply of cleaning materials,2477461," 2,164,500.00 ",001,11/15/2016,,,Complete,"2,164,800.00", -   ," 2,164,800.00 ",,original,√  ,,
Capacity Enhancement Consultancy Ltd,Recurrent,Training fee at Singapore,Not Attached ," 80,000.00 ",IC17/3/004,4/10/2017,,,Complete,"80,000.00", -   ," 80,000.00 ",,original support documents attached,√  ,,
Capitex investment ,Recurrent,"furniture ,cabinet ",2159112/2159137," 4,409,400.00 ",No no,5/1/2014,,,Complete,"4,409,400.00",," 4,409,400.00 ",,original document,√  ,,
Category One Media,Recurrent,Final payment on supply of examination materials ,2273203," 1,810,000.00 ",2464,11/11/205,,,complete,"1,810,000.00"," 999,740.00 "," 810,260.00 ",,Photocopy,√  ,,
Choke Construction & Suppliers,Development,supply of Relief food- Cherab Ward,2635872," 8,870,000.00 ",6,1/26/2017,,,Complete,"8,870,000.00", -   ," 8,870,000.00 ",,court case,√  ,,
Choke Construction & Suppliers,Development,Relief food,2635871," 6,610,000.00 ",                    005,1/26/2017,,,Complete,"6,610,000.00", -   ," 6,610,000.00 ",,court case,√  ,,
Choke Construction & Suppliers,Development,Supply of relief food Garbatulla ward,2273458," 7,915,000.00 ",2,6/26/2016,,,Complete,"7,915,000.00", -   ," 7,915,000.00 ",,court case,√  ,,
Choke Construction & Suppliers,Development,supply of Relief food- Wabera Ward,2273460," 6,025,000.00 ",7,10/10/2016,,,Complete,"6,025,000.00", -   ," 6,025,000.00 ",,court case,√  ,,
Clicks Holdings Ltd,Development,Supply of releif food Garbatulla Ward,2159486," 3,387,500.00 ",4,8/5/2016,,,Complete,"3,387,500.00", -   ," 3,387,500.00 ",,original document,√  ,,
CMC Motors Group Ltd,Recurrent,Serving of motorvehicle GK A513Q,1201205," 400,000.00 ",003313,5/6/2017,,,Complete,"400,000.00",," 400,000.00 ",,,√  ,,
CMC Motors Group Ltd,Recurrent,Repair and servicing of tractors KBY 408 C and KBY 404C,1201215," 823,734.00 ",0003666/7,5/6/2017,,,Complete,"400,000.00",," 823,734.00 ",,an amount of 759539 budgetted for the current year,√  ,,
CMC Motors Group Ltd,Recurrent,supply of lubricants,3011821," 33,500.00 ",0003337,2/28/2017,,,Complete,"33,500.00",," 33,500.00 ",,,√  ,,
CMC Motors Group Ltd,Recurrent,Supply of Tractor disc / shovels,1640897," 1,700,000.00 ",2010,6/4/2014,,,Complete,"1,700,000.00",," 1,700,000.00 ",,,√  ,,
CMC Motors Group Ltd,Recurrent,Repair and serving of motorvehicle,,,,,,,Complete,, -   ," 49,879.00 ",,,X,,
CMC Motors Group Ltd,Recurrent,M/V Service,1201046,,000472,3/11/2016,,,Complete,,," 1,132,754.00 ",,,X,,
CMC Motors Group Ltd,Recurrent,M/V Service,1201045,,001169,3/10/2016,,,Complete,,," 856,754.00 ",,,X,,
Corifisons Co. Ltd,,Payment of completed projects,n/a, No Lso ,Not invoiced,n/a,n/a,19/06/2014,Complete,,," 6,840,000.00 ",,Additions,√  ,,
Currentlink Limited,Development,Consultancy services Survey on revenue resources mapping balance payment,ICG/006/2016/2017," 4,930,000.00 ",C0015,1/30/2017,,,Complete,"1,972,000.00", -   ," 1,972,000.00 ",,original,√  ,,
Currentlink Limited,Recurrent,Consultancy for mapping of Financiial Sources - Isiolo County,ICG/006/2016/2017," 4,930,000.00 ",0022,12/05/2017,,,Complete,"2,958,000.00", -   ," 2,958,000.00 ",,Additions from Original List,√  ,,
Dabasiti Contractors co. ltd,Development,supply of Relief food-Ngaremara Wards,2273369," 8,965,000.00 ",026,1/9/2017,,,Complete,"8,965,000.00", -   ," 8,965,000.00 ",,court case,√  ,,
Dabasiti Contractors Co. Ltd,Development,supply of Relief food Oldonyiro Ward,2635838," 8,097,000.00 ",012,1/18/2016,,,Complete,"8,097,000.00", -   ," 8,097,000.00 ",,court case,√  ,,
Dabasiti Contractors Co. Ltd,Recurrent,Car Hire ,1198147," 3,825,000.00 ",024,12/30/2015,,,Complete,"3,825,000.00", -   ," 3,825,000.00 ",,court case,√  ,,
Dabasiti Contractors Co. Ltd,Recurrent,Transport services,1201124," 4,575,000.00 ",17,3/31/2016,,,Complete,"4,575,000.00", -   ," 4,575,000.00 ",,,√  ,,
Dakiye General Supplies,Development,Relief Food,2206207," 9,230,200.00 ",300,10/21/2015,,,Complete,"2,030,200.00", -   ," 2,032,000.00 ",,Photocopy document,√  ,,
Dakiye General Supplies,Development,supply of food during Iddul Hajj celebration-Isiolo ,2206208," 3,216,000.00 ",200,10/21/2015,,,Complete,"3,216,000.00",," 3,216,000.00 ",,Photocopy document,√  ,,
Dakiye General Supplies,,Heavy Grading Murruming of Feedlot KMTC Demonstration Road,ICG/154/2016/2017,,,,,,,,," 1,460,678.00 ",,Captured under livestock,√  ,,
Dakiye General Supplies  ,Development,heavy grading and murramingof feedlot to Abbottoir  road ,ICG/154/2016/2017," 1,460,678.00 ",,4/5/2017,,,Complete,"1,460,678.00", -   ," 1,460,678.00 ",,,√  ,,
Dalatu Investment,Development,supply of food during Ramadhan- Sacred Heart School,2206067," 3,780,000.00 ",120,7/1/2015,,,Complete,"3,780,000.00", -   ," 3,780,000.00 ",,original document,√  ,,
Dalatu Investment,Development,supply of food during Ramadhan- Garba tulla ,2206065," 4,863,500.00 ",121,6/26/2015,,,Complete,"4,863,500.00", -   ," 4,863,500.00 ",,original document,√  ,,
Dalatu Investment,Development,supply of releif food -Ngeremara Ward,2206088," 3,602,500.00 ",119,6/30/2015,,,Complete,"3,602,500.00", -   ," 3,602,500.00 ",,original document,√  ,,
Dalatu Investment Limited,Recurrent,supply of cleaning materials,2206386/7/8," 505,015.00 ",No number,not dated,,,Complete,"505,015.00", -   ," 505,015.00 ",,original,√  ,,
Darara investment,Recurrent,supply of food ration,2477469,,37,12/14/2015,,,Complete,,," 395,550.00 ",,,√  ,,
Darara Investment,Recurrent,Food Ratio,not attached,,not attached,n/a,,,Complete,,," 306,000.00 ",,,√  ,,
Darara investment ltd,Development,Supply of releif food -Isiolo North schools,2206086," 4,200,000.00 ",111,7/1/2015,,,Complete,"4,200,000.00", -   ," 4,200,000.00 ",,original document,√  ,,
Darara investment ltd,Development,supply relief food during month of Ramadhan through Jamia Mosque,2206090," 4,863,500.00 ",001,6/26/2015,,,Complete,"4,863,500.00", -   ," 4,863,500.00 ",,original document,√  ,,
DARARA INVESTMENT LTD,Recurrent,SUPPLY OF FOOd ration,2273319," 181,000.00 ",212,18/04/2017,29/03/2017,18/04/2017,,"181,000.00", -   ," 181,000.00 ",,photo copy,√  ,,
DARARA INVESTMENT LTD,Recurrent,supply of food ration,2273317," 1,882,180.00 ",231,18/04/2017,29/03/2017,18/04/2017,,"1,882,180.00", -   ," 1,882,180.00 ",,photo copy,√  ,,
DARARA INVESTMENT LTD,Recurrent,Food Ratio,2159173," 2,826,000.00 ",007,10/11/2016,,,Complete,"2,826,800.00", -   ," 2,826,800.00 ",,original,√  ,,
DARARA INVESTMENT LTD,Recurrent,Food Ratio,2273009," 2,568,340.00 ",009,5/18/2016,,,Complete,"2,568,340.00", -   ," 2,568,340.00 ",,original,√  ,,
David K. Muriuki & John K. Maina,Recurrent,Repair of motorvehicle GKA 165M,1201415," 395,000.00 ",142,5/31/2017,31/05/2017,43073,Complete,"395,000.00", -   ," 395,000.00 ",,original,√  ,,
